Question,Answer
How can I order," You can order easily using our online platform. When you find a product you need, you can add it to cart, login and go through the ordering process. After the order is ready, you will receive order summary to your email. Order summary will also be stored to your account.

You can also easily make reorders afterwards by clicking the “reorder” button on any of your previously made orders. After clicking the “reorder” button the cart will open and you can change quantities or products. "
Why should I buy online?,"Speeding up the process. By ordering online you will you will get prices faster and you will be able to go through order confirmation and payment process much faster. This could save days of your time. Traceability: You will have easy access to all of your previous orders any time you want.

Reordering:  you can make a re-order anytime based on your previous orders by only couple of clicks. This will save time and effort as you don’t need to go through all the documents and emails from the past."
What information should I input when ordering?,"our online ordering system will ask for all the important information you should submit. If you have a VAT number, please remember to submit it. This will make sure the shipment is not delayed because of the lack of VAT number"
What payment methods can I use?,"You can use all the major credit cards. If you are a customer with established customer relationship with HyTest Ltd. you are able to use invoice as a payment method on our online shopping checkout process.  If invoicing option is not activated for you although you are repeated customer, please contact hytest@hytest.fi and notify us."
Is VAT charged?,"If you have VAT number, then VAT is not charged. You need to remember to add the VAT number to your account information section. Online checkout system will automatically fill in the submitted VAT number when you order products. You can also add your VAT number during the checkout process manually. "
Can I use pro-forma invoice?,"Yes, you can use pro-forma invoice. Please contact hytest@hytest.fi if you want to use pro-forma invoice."
What should I do if the payment is not accepted?," Please try again in a little while. If the payment is still not accepted, please verify your account balance. If everything is as it should, but you still can't make the payment, please contact hytest@hytest.fi notify us about the problem. We can manage the order manually."
How can I change delivery address?,Sign in to your account and go to “my account”. On “my account” you can change all your contact information.
What are the delivery charges?,Delivery charges are dependent on the shipment requirements. If the products on your order are due to special requirements (for example dry ice) extra fee will be added to the shipment charges. You can see the shipping fees on the checkout process before the payment is made.
What are the terms and conditions?, You can see the terms and conditions here
How can I get offer of bulk amounts?,"When you are logged in and you add products to shopping cart, you have the ability to send offer request to us using the shopping cart. You just need to add the products and quantities you are interested in and click “offer request”. We will send you an offer. Please note that this feature should only be used for bulk quantity price requests."
Can I pay with invoice?,": If you have already established customer relationship with HyTest, you will be granted ability to pay using invoice. If you have ordered several times from HyTest but you don't see the invoice as a paying option on the checkout, please contact hytest@hytest.fi and we will check why the invoice is not activated on your account."
 Can I cancel my order?,"If you want to cancel your order, please do so as soon as possible. If we have already processed your order, you need to contact us and return the product. Please contact hytest@hytest.fi"
Do I have to order online?,"You can also send your order to hytest@hytest.fi. You can also order using FAX (+358 2 512 0909) or by calling. Online ordering is preferred in most cases because by ordering online, you will save time, you will have easier payment process and all the information about the order will be accessible for you anytime. Also if you want to make same order later, you can use “reorder” feature."
 Do you have the product in stock?, All the products which are shown on our site are available. Order lead time depends on the products and quantities.
How to contact customer service?," If you have question regarding our online store (ordering, account questions, technical questions), please contact onlinestore@hytest.fi.    If you have question regarding our online store (ordering, account questions, technical questions), please contact onlinestore@hytest.fi. "
Can I return a product?,"If you want to return a product, please contact hytest@hytest.fi"
